Agency,Component,Year,Simple-Median No. of Days,Simple-Average No. of Days,Simple-Lowest No. of Days,Simple-Highest No. of Days,Complex-Median No. of Days,Complex-Average No. of Days,Complex-Lowest No. of Days,Complex-Highest No. of Days,Expedited Processing-Median No. of Days,Expedited Processing-Average No. of Days,Expedited Processing-Lowest No. of Days,Expedited Processing-Highest No. of Days,
DoD,DoD,2013,,10,-1,3061,,93,-1,4585,,15,-1,609
USTDA,USTDA,2013,,,,,10,15.75,5,44,,,,
BBG,BBG,2013,,,,,38,44,6,99,,,,
PBGC,PBGC,2013,0,0,0,0,9,10,1,198,,,,
DOI,DOI,2013,1,3,-1,120,17,43,-1,1492,19,63,-1,579
FMSHRC,FMSHRC,2013,1,3.1,1,24,6,8.9,1,34,7,5.7,1,9
USCCR,USCCR,2013,1,3,-1,21,14,14,14,14,0,0,0,0
NRPC,NRPC,2013,1,4.17,1,20,13.5,49.23,1,539,55,60.33,52,74
ACUS,ACUS,2013,1,1.2,-1,3,,,,,,,,
OPM,OPM,2013,2,22,1,406,35,41,1,791,17,37,3,398
SSS,SSS,2013,2,2,1,3,,,,,,,,
NCPC,NCPC,2013,2,3.67,-1,16,,,,,,,,
FMCS,FMCS,2013,2,3.5,-1,16,13,13.9,1,22,2,8.3,1,22
FRB,FRB,2013,2,5,-1,164,30,60,1,1027,358,355,350,358
FMC,FMC,2013,4,7.5,1,25,523.5,444.5,71,576,23.5,77.5,14,249
STB,STB,2013,4,6,1,19,,,,,,,,
NASA,NASA,2013,4,5.65,-1,35,14,22.34,-1,252,,,,
NLRB,NLRB,2013,4,6,-1,146,,,,,7,6,1,10
FTC,FTC,2013,4,7.36,1,111,18,27.6,1,588,8,8,8,8
Treasury,Treasury,2013,5,15.68,-1,648,15,22.56,-1,2064,19,38.05,-1,88
SBA,SBA,2013,5,6.5,-1,97,,,,,,,,
VA,VA,2013,5,16.71,-1,699,16,35.53,-1,1438,14,37.96,-1,176
SEC,SEC,2013,5,14.51,-1,786,645,514,-1,803,40,58.15,2,344
OPIC,OPIC,2013,5,21.68,-1,322,,,,,10,10,10,10
CSB,CSB,2013,5,4,-1,14,685,664,38,1192,,,,
PRC,PRC,2013,6,7,1,20,29,29,29,29,5,5,5,5
ONHIR,ONHIR,2013,6,8.53,1,37,,,,,,,,0
NEA,NEA,2013,6,27,1,301,253,25,17,466,11.5,10,1,18
USPS,USPS,2013,6,13.63,-1,504,23,49.62,-1,1059,4,8,1,24
NARA,NARA,2013,6,42.2,-1,3994,290,718,-1,6136,6,7.5,1,22
CFPB,CFPB,2013,6.5,8.36,-1,41,28,31.07,-1,128,,,,
US ADF,US ADF,2013,6.5,7,4,11,0,0,0,0,0,0,0,0
RATB,RATB,2013,6.5,11.5,2,29,,,,,,,,
FDIC,FDIC,2013,7,9.89,-1,51,12,12.96,-1,34,3,4.31,-1,13
LSC,LSC,2013,7,9.94,1,53,,,,,,,,
OGE,OGE,2013,7,8.6,1,30,0,0,0,0,0,0,0,0
NMB,NMB,2013,7,6,-1,20,0,0,0,0,15,15,15,15
OSHRC,OSHRC,2013,7.5,9.8,-1,24,55,55,55,55,,,,
USITC,USITC,2013,8,10,1,20,30,30,30,30,0,0,0,0
U.S. DOL,U.S. DOL,2013,8,20.4,0,1211,11,28.5,0,1735,7,39.5,1,519
NCUA,NCUA,2013,8,11.08,-1,61,35.5,59.55,-1,346,163,163,163,163
OSTP,OSTP,2013,8,10.8,-1,40,9.5,38.6,-1,234,2,2,2,2
DOC,DOC,2013,8,9,1,20,43,90,1,1114,14,40,2,208
IMLS,IMLS,2013,9,8.9,1,18,24.5,24.8,21,30,0,0,0,0
USNRC,USNRC,2013,9,12,-1,93,21,82,-1,617,391,391,391,391
TVA,TVA,2013,9,9.48,1,20,36,77.92,21,627,,,,
FLRA,FLRA,2013,9,10.71,-1,51,38,37.33,18,56,,,,
DOE,DOE,2013,9,22.21,-1,336,49,164.52,-1,2043,18.5,39.75,-1,195
HHS,HHS,2013,10,29,,1260,63,99,,1541,30,98,,512
FHFA,FHFA,2013,10,15.4,-1,109,33,45.84,-1,158,,,,
CSOSA,CSOSA,2013,10,14.56,1,207,,,,,1,1,1,1
FOMC,FOMC,2013,10,11.7,4,18,196,168.6,36,342,,,,
CO,CO,2013,10,13.4,1,94,,,,,,,,
FCA,FCA,2013,10.5,9.57,-1,18,,,,,18,18,18,18
DHS,DHS,2013,11,36.7087,1,923,37.5,92.6486,1,2120,21,44.0112,1,219
ABMC,ABMC,2013,11,72,10,193,,,,,,,,
CPPBSD,CPPBSD,2013,11,9.67,5,13,20,20,20,20,0,0,0,0
U.S. CPSC,U.S. CPSC,2013,11,27,1,402,53,96,1,1159,,,,
DOJ,DOJ,2013,12,21.75,-1,815,64,115.81,-1,1232,30.5,142.91,-1,997
ED,ED,2013,12,25.51,-1,423,28,54.14,-1,817,4,84,-1,312
FFIEC,FFIEC,2013,12.5,12.2,1,26,,,,,,,,
CIA,CIA,2013,13,35.18,1,2411,62,186.02,1,3055,1032,1032,1021,1043
MSPB,MSPB,2013,13,22.3,-1,440,55,67.92,31,150,,,,
NEH,NEH,2013,13,11.6,-1,20,23,23,20,26,5.5,5.5,2,9
FCSIC,FCSIC,2013,14,13.25,4,20,,,,,,,,
HUD,HUD,2013,14,17.21,1,276,16.5,23.89,1,660,1.5,8.89,0,89
OSC,OSC,2013,14,31.54,-1,301,259,291.62,28,715,266.5,204.33,1,377
USDA,USDA,2013,14,15.52,1,647,19,43.29,0,1162,11,16.08,1,61
DOT,DOT,2013,14,24.88,-1,1491,34,55.825,-1,1074,14.5,55.75,-1,601
DNFSB,DNFSB,2013,14,14.53,6,39,,,,,7,7,6,8
EPA,EPA,2013,15,27.18,-1,2044,34,55.86,-1,1344,30,118.73,4,524
EEOC,EEOC,2013,16,17.52,1,306,,,,,3,7.09,1,19
USTR,USTR,2013,16,19,1,41,39,141,7,789,,,,
AFRH,AFRH,2013,16,14,1,21,,,,,,,,
ODNI,ODNI,2013,16,86.12,-1,1407,64.5,167.91,-1,1145,,,,
USAID,USAID,2013,17,74.83,-1,789,101,205.8,-1,1330,295,288,19,543
FEC,FEC,2013,17,16.3,1,35,20.5,28.1,1,88,0,0,0,0
IAF,IAF,2013,17,16.36,2,35,,,,,,,,
US RRB,US RRB,2013,18,13.63,1,26,,,,,,,,
MCC,MCC,2013,18,17,-1,55,,,,,,,,
SSA,SSA,2013,18,17,1,45,45,64,1,331,,,,
OMB,OMB,2013,18,31,1,233,,,,,,,,
USIBWC,USIBWC,2013,19,14.6,1,27,54,64,42,110,,,,
FCC,FCC,2013,19,33.3,-1,902,346,288.16,19,423,12,12,12,12
FERC,FERC,2013,20,23,2,87,22,45,2,268,,,,
NTSB,NTSB,2013,20,29.77,-1,666,100,184.18,-1,1304,62,62,62,62
SIGAR,SIGAR,2013,20,20,2,53,,,,,,,,
GSA,GSA,2013,21,20.06,-1,40,48,63.45,-1,400,1,1,-1,2
NSF,NSF,2013,21,32,1,209,,,,,,,,
CNCS,CNCS,2013,22,45,-1,280,105.5,174,24,422,281,199,4,380
CIGIE,CIGIE,2013,22,23,6,44,66,73,52,101,0,0,0,0
FRTIB,FRTIB,2013,22,27,11,112,,,,,,,,
PC,PC,2013,26,32,1,105,152,183,85,518,,,,
CEQ,CEQ,2013,35,47,-1,236,112,106,15,170,113,116,33,204
CFTC,CFTC,2013,40,65,1,401,216,239.27,26,838,,,,
ONDCP,ONDCP,2013,42,49,1,148,,,,,,,,
Ex-Im Bank,Ex-Im Bank,2013,59,82.2,1,257,277,318.19,44,786,,,,
NIGC,NIGC,2013,68.5,109,5,478,588,504,336,588,,,,
State,State,2013,90,106,-1,1631,373.5,532.8,-1,2070,202,405,4,1841
